image_path,crop,class,split,domain,width,height,candidate_count,selected_mask_area_pct,stability_score,predicted_iou,centroid_x,centroid_y,norm_centroid_dist,strat_a_success,strat_b_success,strat_c_success,selection_strategy,quality_category,retry_used,final_status
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_bacterial_spot/tomato_277.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,800,1200,1,64.0,0.9517,0.931,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_late_blight/tomato_435.jpg,Tomato,Tomato_Late_Blight,test,Laboratory,800,1200,1,63.73,0.9511,0.9305,398,597,0.005,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/998dafd6-dac5-41f7-84d9-f96c9593dda3___RS_Late.B 7075.JPG,Tomato,Tomato_Late_Blight,test,Laboratory,256,256,9,44.82,0.9255,0.9046,148,132,0.1127,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_bacterial_spot/tomato_1004.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,1200,800,1,63.88,0.9515,0.9308,598,399,0.0029,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___healthy/8e19f6ec-51c4-496a-9970-746085371064___RS_HL 9829.JPG,Tomato,Tomato_Healthy,test,Laboratory,256,256,37,44.65,0.9237,0.9033,109,140,0.1241,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_early_blight/329.JPG,Tomato,Tomato_Early_Blight,test,Laboratory,1200,800,1,61.3,0.9485,0.9276,612,398,0.0146,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/c3cdca74-eaa0-4fac-b0ea-41006fd2b3b0___UF.GRC_YLCV_Lab 08578.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,4,50.82,0.9387,0.9162,129,136,0.0445,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Spider_mites Two-spotted_spider_mite/bf36d28e-7feb-460c-a26d-75619b819157___Com.G_SpM_FL 8604.JPG,Tomato,Tomato_Spider_Mites,test,Laboratory,256,256,35,35.04,0.9286,0.9021,134,137,0.0598,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/6f4895d3-c997-4b05-9678-59c53951602f___UF.GRC_YLCV_Lab 02999.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,23,45.76,0.9296,0.9078,112,129,0.0886,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_healthy_leaf/tomato_915.jpg,Tomato,Tomato_Healthy,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/87946145-3625-4e66-8570-c7c0d2c4a388___UF.GRC_BS_Lab Leaf 1148.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,15,39.55,0.9287,0.9042,116,134,0.0741,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_miner/tomato_720.jpg,Tomato,Tomato_Miner,test,Laboratory,1200,800,1,63.27,0.9513,0.9304,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Spider_mites Two-spotted_spider_mite/2b47c565-c37a-4bdb-baa9-b3721dbf9bb6___Com.G_SpM_FL 9326.JPG,Tomato,Tomato_Spider_Mites,test,Laboratory,256,256,10,36.59,0.9218,0.8983,115,143,0.1097,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato Fusarium Wilt/tomato_148.jpg,Tomato,Tomato_Fusarium_Wilt,test,Laboratory,800,800,1,63.11,0.9512,0.9302,399,399,0.0025,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/53dfd9b5-4486-48c6-96c7-08cf93e0aff2___GHLB2 Leaf 9022.JPG,Tomato,Tomato_Late_Blight,test,Laboratory,256,256,9,26.38,0.9279,0.8976,122,130,0.0349,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_mold/tomato_1181.jpg,Tomato,Tomato_Leaf_Mold,test,Laboratory,800,1200,1,64.0,0.9517,0.931,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/93cbb115-c3d2-46f4-a8c9-fee6025b2311___Com.G_TgS_FL 0901.JPG,Tomato,Tomato_Target_Spot,test,Laboratory,256,256,1,50.06,0.9334,0.9123,129,142,0.0775,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/Leaf-spots-on-tomato-leaves-Credits-Hank-Dankers_Q320.jpg,Tomato,Tomato_Bacterial_Spot,test,Laboratory,320,320,1,64.0,0.9511,0.9306,159,159,0.0063,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_late_blight/tomato_573.jpg,Tomato,Tomato_Late_Blight,test,Laboratory,800,1200,1,63.9,0.9516,0.9309,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/test/test/tomato_leaf_curl/tomato_137.jpg,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,1200,800,5,63.89,0.9516,0.9309,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_early_blight/tomato_258.jpg,Tomato,Tomato_Early_Blight,test,Laboratory,1200,800,1,64.0,0.9517,0.931,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___healthy/a37f028b-6cb5-4557-8e5d-61b25830858c___RS_HL 0530.JPG,Tomato,Tomato_Healthy,test,Laboratory,256,256,9,46.29,0.9413,0.9158,127,126,0.0124,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Target_Spot/6882e052-a4d1-47e6-b57e-3376108e37f9___Com.G_TgS_FL 0701.JPG,Tomato,Tomato_Target_Spot,test,Laboratory,256,256,14,50.2,0.9421,0.9182,131,130,0.0199,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/9ea77bf9-c078-4adf-9173-ca0dca15dabd___GCREC_Bact.Sp 6333.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,14,52.88,0.9418,0.9192,124,132,0.0312,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/f96c2269-cf72-448e-a1b7-d74f2e46a675___RS_Late.B 6851.JPG,Tomato,Tomato_Late_Blight,test,Laboratory,256,256,9,40.92,0.9168,0.8969,151,145,0.158,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf mosaic virus/mosaic_virus_tomato_small.jpg,Tomato,Tomato_Mosaic_Virus,test,Laboratory,150,138,1,64.34,0.9501,0.9301,74,68,0.0139,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_mold/tomato_901.jpg,Tomato,Tomato_Leaf_Mold,test,Laboratory,800,1200,1,63.99,0.9517,0.931,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Early_blight/6c5baf51-ae97-41dd-9728-1995177e3b6a___RS_Erly.B 7723.JPG,Tomato,Tomato_Early_Blight,test,Laboratory,256,256,13,44.48,0.9356,0.9111,120,129,0.0445,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/ba82e978-71a7-4cf5-8f15-e86248b8b024___YLCV_GCREC 2862.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,8,35.98,0.9293,0.903,118,131,0.0577,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Early_blight/e3aef05b-9ed6-421c-a44d-82a996b3e3bb___RS_Erly.B 7803.JPG,Tomato,Tomato_Early_Blight,test,Laboratory,256,256,51,38.1,0.9344,0.9074,124,132,0.0312,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Healthy/Healthy_210.jpg,Potato,Potato_Healthy,test,Field,256,256,2,58.89,0.9409,0.9214,123,119,0.0569,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Early_Blight/Early_Blight_654.jpg,Potato,Potato_Early_Blight,test,Field,256,256,14,53.65,0.9431,0.9205,126,124,0.0247,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/902d81fd-7e78-44b6-b71b-efa61e018c65___RS_Early.B 8100.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,3,54.91,0.9458,0.9228,128,126,0.011,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/93c6b48d-cde9-4e8b-bbfb-1a9c06234419___RS_Early.B 7000.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,18,52.1,0.9442,0.9204,127,130,0.0124,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/6033f0b2-48e7-411c-a39b-86297f412c19___RS_LB 4020.JPG,Potato,Potato_Late_Blight,test,Laboratory,256,256,2,36.84,0.9351,0.9073,128,132,0.0221,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Healthy/Healthy_35.jpg,Potato,Potato_Healthy,test,Field,256,256,1,64.13,0.9509,0.9305,127,127,0.0078,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/286_1600.jpg,Potato,Potato_Late_Blight,test,Laboratory,1600,1296,1,64.01,0.9517,0.931,799,646,0.0024,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___healthy/00fc2ee5-729f-4757-8aeb-65c3355874f2___RS_HL 1864.JPG,Potato,Potato_Healthy,test,Laboratory,256,256,3,52.11,0.939,0.917,131,136,0.0472,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Healthy/Healthy_675.jpg,Potato,Potato_Healthy,test,Field,256,256,18,59.57,0.9472,0.9259,127,131,0.0175,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/ab23a940-3124-4101-b562-08ca34a8334b___RS_Early.B 7790.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,2,55.51,0.9429,0.9212,125,123,0.0322,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/82654962-5b0d-44ed-9ca4-84be55ba23a6___RS_Early.B 6877.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,9,52.38,0.9342,0.9139,136,140,0.0797,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_1008.jpg,Potato,Potato_Late_Blight,test,Field,256,256,1,60.78,0.9496,0.9281,129,128,0.0055,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_1020.jpg,Potato,Potato_Late_Blight,test,Field,256,256,8,50.57,0.9387,0.916,128,136,0.0442,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/c7982d1f-7472-44ba-a39d-76085c4d90cd___RS_LB 3072.JPG,Potato,Potato_Late_Blight,test,Laboratory,256,256,16,47.67,0.9427,0.9174,129,127,0.0078,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/5bb77b39-311b-4ad1-8bfc-5a41a13b7b02___RS_Early.B 8255.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,22,51.26,0.9426,0.919,125,126,0.0199,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Healthy/Healthy_397.jpg,Potato,Potato_Healthy,test,Field,256,256,6,60.24,0.946,0.9254,132,125,0.0276,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/1328ae8b-76e1-42e9-a0c4-7dd0612fdf99___RS_Early.B 8303.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,2,50.29,0.9381,0.9155,134,134,0.0469,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Early_Blight/Early_Blight_438.jpg,Potato,Potato_Early_Blight,test,Field,256,256,5,55.91,0.9405,0.9198,128,119,0.0497,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/da412bf6-6bee-4dfb-8bc7-b6e9f80971ff___RS_Early.B 6808.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,35,51.67,0.9433,0.9197,125,128,0.0166,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Healthy/Healthy_1.jpg,Potato,Potato_Healthy,test,Field,256,256,2,56.29,0.94,0.9196,132,119,0.0544,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/B2650214-Potato_leaf_blight-SPL.jpg,Potato,Potato_Early_Blight,test,Laboratory,800,580,125,60.16,0.9485,0.9271,402,286,0.0104,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/72b12e17-d76f-4254-a4af-3ed3c3859500___RS_LB 3334.JPG,Potato,Potato_Late_Blight,test,Laboratory,256,256,13,38.0,0.9235,0.9001,146,123,0.1032,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Late_Blight/Late_Blight_49.jpg,Potato,Potato_Late_Blight,test,Field,256,256,11,55.88,0.9433,0.9216,124,124,0.0312,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/b2492a9e-c038-48a7-8524-8f0aca7dc870___RS_LB 4291.JPG,Potato,Potato_Late_Blight,test,Laboratory,256,256,4,38.77,0.9286,0.9038,139,135,0.072,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/9032d569-294e-4b8b-a70f-ecff949e43e2___RS_LB 3998.JPG,Potato,Potato_Late_Blight,test,Laboratory,256,256,2,41.34,0.928,0.9046,143,131,0.0845,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___healthy/a4d1d8cb-26a2-413f-a229-021e2eea87ac___RS_HL 1819.JPG,Potato,Potato_Healthy,test,Laboratory,256,256,2,45.59,0.9352,0.9114,137,126,0.0509,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Early_Blight/Early_Blight_1130.jpg,Potato,Potato_Early_Blight,test,Field,256,256,3,54.1,0.9396,0.9183,137,128,0.0497,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Testing/Late_Blight/Late_Blight_57.jpg,Potato,Potato_Late_Blight,test,Field,256,256,5,52.51,0.9373,0.916,122,119,0.0598,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Early_Blight/Early_Blight_103.jpg,Potato,Potato_Early_Blight,test,Field,256,256,1,53.75,0.9436,0.9208,124,128,0.0221,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Healthy/Healthy_152.jpg,Potato,Potato_Healthy,test,Field,256,256,4,60.87,0.9488,0.9276,130,128,0.011,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/84a61cf3-fdc2-42bd-82d8-8dcf20e9d374___RS_Early.B 8130.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,3,60.06,0.9489,0.9273,127,129,0.0078,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Early_Blight/Early_Blight_886.jpg,Potato,Potato_Early_Blight,test,Field,256,256,2,63.86,0.9496,0.9295,126,126,0.0156,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Healthy/Healthy_182.jpg,Potato,Potato_Healthy,test,Field,256,256,2,62.57,0.9494,0.9288,126,129,0.0124,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_192.jpg,Potato,Potato_Late_Blight,test,Field,256,256,11,53.16,0.9389,0.9174,122,121,0.0509,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Late_blight/c84a1cfc-5e19-46df-a315-c7fb6a61e60f___RS_LB 4103.JPG,Potato,Potato_Late_Blight,test,Laboratory,256,256,4,43.42,0.9357,0.9108,132,134,0.0398,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Early_Blight/Early_Blight_97.jpg,Potato,Potato_Early_Blight,test,Field,256,256,4,60.15,0.9456,0.9251,123,126,0.0297,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Late_Blight/Late_Blight_132.jpg,Potato,Potato_Late_Blight,test,Field,256,256,1,57.98,0.9432,0.9225,128,121,0.0387,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Early_Blight/Early_Blight_469.jpg,Potato,Potato_Early_Blight,test,Field,256,256,3,53.7,0.9393,0.918,129,119,0.05,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Testing/Early_Blight/Early_Blight_139.jpg,Potato,Potato_Early_Blight,test,Field,256,256,1,64.13,0.9509,0.9305,127,127,0.0078,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Early_Blight/Early_Blight_744.jpg,Potato,Potato_Early_Blight,test,Field,256,256,9,60.81,0.9487,0.9275,128,130,0.011,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_837.jpg,Potato,Potato_Late_Blight,test,Field,256,256,2,60.78,0.9462,0.9259,125,124,0.0276,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_314.jpg,Potato,Potato_Late_Blight,test,Field,256,256,1,51.27,0.9406,0.9177,129,134,0.0336,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Potato___Early_blight/11e974fa-928f-45f6-b983-e74c74c7d163___RS_Early.B 7992.JPG,Potato,Potato_Early_Blight,test,Laboratory,256,256,12,58.27,0.9468,0.9251,130,130,0.0156,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Validation/Early_Blight/Early_Blight_156.jpg,Potato,Potato_Early_Blight,test,Field,256,256,15,59.56,0.9479,0.9264,130,127,0.0124,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/new_Dataset/pld/PLD_3_Classes_256/Training/Late_Blight/Late_Blight_115.jpg,Potato,Potato_Late_Blight,test,Field,256,256,2,57.16,0.9444,0.923,131,124,0.0276,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
